name,azizsupermrkt,chittagong,dhaka,sylhet,banglabazar,ecommerce,id,reference,Price
নারীমুক্তি আন্দোলন ও আমরা,0,6,0,1,0,0,14988,1.4988E+12,300
ধর্ম অধর্ম ও ভারতীয় নারী,0,0,2,1,0,0,14990,1.499E+12,600
স্মাটকিট - জায়ান্ট পিক্সেল,0,1,1,0,0,0,70310,15003191,880
ভিডিও ক্যামেরা ও ভিডিওগ্রাফি,0,2,0,0,0,0,15055,1.5055E+12,200
ফোটোগ্রাফি-অভিধান,0,0,0,1,0,0,15057,1.5057E+12,650
ফিল্মফর্ম,0,0,0,4,0,0,15058,1.5058E+12,400
ফিল্মসেন্স,0,0,0,0,0,0,15060,1.506E+12,300
বিশ্ববরেণ্য ভারতরত্ন সত্যজিৎ রায়,0,1,0,1,0,0,15074,1.5074E+12,200
টেলিভিশন ও টিভি প্রযোজনা,0,0,0,3,0,0,15078,1.5078E+12,600
আফ্রিকার চলচ্চিত্র,0,0,0,2,0,0,15080,1.508E+12,200
প্রচ্ছদে বাংলা সিনেমার ফিল্ম বুকলেট বাছাই ১০০,0,0,0,0,0,0,15087,1.5087E+12,990
সিনেমা কথকতা,0,0,0,3,0,0,15099,1.5099E+12,500
দুই বাংলার পুতুল,0,0,0,0,0,0,15173,1.5173E+12,180
একদিন সবাই মিলে,0,5,6,0,0,0,15271,1.5271E+12,80
আমাদের গ্রামের পুজো,0,0,0,0,0,0,15324,1.5324E+12,60
স্প্যানিশ ভাষার ক্লাস,0,3,0,0,0,0,15328,1.5328E+12,250
দুর্লভ হাসির গল্পের সংগ্রহ,0,0,0,0,0,0,15335,1.5335E+12,200
তখন মাক্কা-মাদীনায়,1,1,2,0,0,0,15351,1.5351E+12,700
শ্রীমদ্ভগবদগীতা,0,0,1,0,0,0,15353,1.5353E+12,800
কপিলাবস্তুর কলস,0,4,4,0,0,0,15357,1.5357E+12,750
পূর্বাপরঃ সিলেটে রবীন্দ্র-আগমনের শতবর্ষপূর্তি উপলক্ষে শ্রীহট্ট ব্রাহ্ম সমাজ-কর্তৃক প্রকাশিত,0,0,0,5,0,0,15358,1.5358E+12,200
আলপনা,0,0,0,0,0,0,15371,1.5371E+12,80
অন্তর্দৃষ্টি,0,0,0,0,0,0,15373,1.5373E+12,200
হিতোপদেশের গল্প,0,0,0,0,0,0,15380,1.538E+12,100
বোবা বেহাগ,0,0,0,2,0,0,15381,1.5381E+12,100
দি লায়ন কিং গুহাদানব,0,1,0,0,0,0,15416,1.5416E+12,75
আমার বনবাস,0,0,0,0,0,0,15451,1.5451E+12,24
সুরমা গাঙর পানি,0,0,0,10,0,0,15470,1.547E+12,600
Leonardo Da Vinci,0,0,0,0,0,0,45222,1568521987,6130
দ্য রোড টু আল-কায়েদা,0,2,3,0,0,0,15712,1.5712E+12,330
ব্যাটম্যান ও রবিন,0,0,9,0,0,0,15717,1.5717E+12,200
সুপারম্যান রহস্ব প্রকাশ,0,0,24,0,0,0,15720,1.572E+12,200
ব্যাটম্যান,0,0,17,0,0,0,15721,1.5721E+12,200
প্রথম রোমহর্ষক প্রকাশ! : ব্যাটম্যান,0,0,27,0,0,0,15722,1.5722E+12,200
প্রস্তর বক্ষ : সুপারম্যান,0,0,5,0,0,0,15727,1.5727E+12,200
দেশ বিদেশের গুপ্তধন,0,0,0,0,0,0,15741,1.5741E+12,400
